 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
lgm, IPSL-CM5A-LR, 0.905677, 0.683329, 32.5389%
lgm, MIROC-ES2L, 1.02905, 1.1859, -13.2259%
lgm, MIROC-ESM, 0.547678, 0.469531, 16.6437%
lgm, MPI-ESM-P, 0.789227, 0.757, 4.25712%
lgm, MRI-CGCM3, 0.57653, 0.601436, -4.14109%
Ensemble mean change in lgm = -5.48349%
 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
lig127k, AWI-CM-1-1-LR, 0.614305, 0.748795, -17.9608%
lig127k, CESM2, 0.913569, 1.14001, -19.863%
lig127k, GISS-E2-1-G, 1.17884, 1.17505, 0.322553%
lig127k, HadGEM3-GC31, 0.651444, 0.932783, -30.1612%
lig127k, IPSL-CM6A-LR, 0.806532, 0.975408, -17.3133%
lig127k, NESM3, 0.535736, 0.695554, -22.9771%
lig127k, NorESM1-F, 0.474652, 0.598274, -20.6631%
Ensemble mean change in lig127k = -18.3737%
 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
1pctCO2, BCC-CSM1-1, 0.606155, 0.695788, -12.8822%
1pctCO2, CCSM4, 0.759118, 1.05023, -27.7191%
1pctCO2, CESM2, 1.0201, 1.14001, -10.518%
1pctCO2, CNRM-CM5, 0.931235, 0.810513, 14.8945%
1pctCO2, CSIRO-Mk3-6-0, 0.905389, 0.680119, 33.1222%
1pctCO2, CSIRO-Mk3L-1-2, 0.619361, 0.534729, 15.8271%
1pctCO2, FGOALS-g2, 0.522073, 0.744639, -29.8891%
1pctCO2, FGOALS-s2, 1.43404, 1.07175, 33.8033%
1pctCO2, GISS-E2-1-G, 1.23757, 1.17505, 5.32073%
1pctCO2, GISS-E2-R, 0.42737, 0.523797, -18.4092%
1pctCO2, IPSL-CM5A-LR, 0.54809, 0.683329, -19.7913%
1pctCO2, IPSL-CM6A-LR, 1.29178, 0.975408, 32.4349%
1pctCO2, MIROC-ES2L, 1.51645, 1.1859, 27.8739%
1pctCO2, MIROC-ESM, 0.427484, 0.469531, -8.95514%
1pctCO2, MPI-ESM-P, 1.0241, 0.757, 35.2838%
1pctCO2, MRI-CGCM3, 0.77655, 0.601436, 29.1158%
1pctCO2, MRI-ESM2-0, 1.08285, 0.904119, 19.7683%
1pctCO2, NESM3, 0.724007, 0.695554, 4.09074%
Ensemble mean change in 1pctCO2 = 6.85396%
 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
abrupt4xCO2, BCC-CSM1-1, 0.580044, 0.695788, -16.635%
abrupt4xCO2, CCSM4, 0.884972, 1.05023, -15.7356%
abrupt4xCO2, CESM2, 0.768908, 1.14001, -32.5524%
abrupt4xCO2, CNRM-CM5, 0.849251, 0.810513, 4.77945%
abrupt4xCO2, CSIRO-Mk3-6-0, 1.07319, 0.680119, 57.7941%
abrupt4xCO2, FGOALS-g2, 0.611439, 0.744639, -17.8878%
abrupt4xCO2, FGOALS-s2, 1.32856, 1.07175, 23.9612%
abrupt4xCO2, GISS-E2-1-G, 0.942077, 1.17505, -19.8263%
abrupt4xCO2, GISS-E2-R, 0.283941, 0.523797, -45.7919%
abrupt4xCO2, IPSL-CM5A-LR, 0.5268, 0.683329, -22.9068%
abrupt4xCO2, IPSL-CM6A-LR, 0.864718, 0.975408, -11.3481%
abrupt4xCO2, MIROC-ES2L, 1.50252, 1.1859, 26.6996%
abrupt4xCO2, MIROC-ESM, 0.423117, 0.469531, -9.88511%
abrupt4xCO2, MPI-ESM-P, 1.15784, 0.757, 52.9516%
abrupt4xCO2, MRI-CGCM3, 0.820594, 0.601436, 36.4391%
abrupt4xCO2, MRI-ESM2-0, 1.11382, 0.904119, 23.1935%
abrupt4xCO2, NESM3, 0.720628, 0.695554, 3.60483%
Ensemble mean change in abrupt4xCO2 = 2.16789%
 
expt, gcm_name, NCT_stddev, control_NCT_stddev, percentage change
midHolocene, AWI-CM-1-1-LR, 0.289392, 0.404944, -28.5352%
midHolocene, BCC-CSM1-1, 0.253919, 0.238714, 6.3696%
midHolocene, CCSM4, 0.453411, 0.48988, -7.44459%
midHolocene, CESM2, 0.625422, 0.694939, -10.0033%
midHolocene, CNRM-CM5, 0.31341, 0.33223, -5.66483%
midHolocene, CSIRO-Mk3-6-0, 0.625958, 0.585281, 6.94997%
midHolocene, CSIRO-Mk3L-1-2, 0.364975, 0.359745, 1.45375%
midHolocene, FGOALS-g2, 0.185648, 0.247342, -24.9427%
midHolocene, FGOALS-s2, 0.553214, 0.508475, 8.79879%
midHolocene, GISS-E2-1-G, 0.451651, 0.431233, 4.73486%
midHolocene, GISS-E2-R, 0.258765, 0.269491, -3.98013%
midHolocene, HadGEM2-CC, 0.273266, 0.294313, -7.15125%
midHolocene, HadGEM3-GC31, 0.45864, 0.441569, 3.86609%
midHolocene, IPSL-CM5A-LR, 0.312872, 0.372271, -15.956%
midHolocene, IPSL-CM6A-LR, 0.506525, 0.550668, -8.01628%
midHolocene, MIROC-ES2L, 0.473634, 0.637877, -25.7484%
midHolocene, MIROC-ESM, 0.23164, 0.280141, -17.313%
midHolocene, MPI-ESM-P, 0.377543, 0.475849, -20.6591%
midHolocene, MRI-CGCM3, 0.401841, 0.342057, 17.4779%
midHolocene, MRI-ESM2-0, 0.409019, 0.449902, -9.08718%
midHolocene, NESM3, 0.321525, 0.342737, -6.18876%
Ensemble mean change in midHolocene = -6.71618%
 
expt, gcm_name, NCT_stddev, control_NCT_stddev, percentage change
lgm, AWI-CM-1-1-LR, 0.382211, 0.404944, -5.61381%
lgm, CCSM4, 0.478827, 0.48988, -2.25625%
lgm, CNRM-CM5, 0.308935, 0.33223, -7.01184%
lgm, COSMOS-ASO, 1.16065, 1.25095, -7.21809%
lgm, FGOALS-g2, 0.127636, 0.247342, -48.3971%
lgm, GISS-E2-R, 0.145974, 0.269491, -45.8334%
lgm, IPSL-CM5A-LR, 0.337588, 0.372271, -9.31667%
lgm, MIROC-ES2L, 0.485753, 0.637877, -23.8485%
lgm, MIROC-ESM, 0.32623, 0.280141, 16.4521%
lgm, MPI-ESM-P, 0.47245, 0.475849, -0.714355%
lgm, MRI-CGCM3, 0.332827, 0.342057, -2.69827%
Ensemble mean change in lgm = -12.4051%
 
expt, gcm_name, NCT_stddev, control_NCT_stddev, percentage change
lig127k, AWI-CM-1-1-LR, 0.289804, 0.404944, -28.4336%
lig127k, CESM2, 0.582227, 0.694939, -16.219%
lig127k, GISS-E2-1-G, 0.434348, 0.431233, 0.72243%
lig127k, HadGEM3-GC31, 0.343817, 0.441569, -22.1373%
lig127k, IPSL-CM6A-LR, 0.448198, 0.550668, -18.6083%
lig127k, NESM3, 0.296292, 0.342737, -13.5511%
lig127k, NorESM1-F, 0.180747, 0.215237, -16.0244%
Ensemble mean change in lig127k = -16.3216%
 
expt, gcm_name, NCT_stddev, control_NCT_stddev, percentage change
1pctCO2, BCC-CSM1-1, 0.220621, 0.238714, -7.57945%
1pctCO2, CCSM4, 0.380289, 0.48988, -22.3711%
1pctCO2, CESM2, 0.503366, 0.694939, -27.5668%
1pctCO2, CNRM-CM5, 0.335669, 0.33223, 1.03498%
1pctCO2, CSIRO-Mk3-6-0, 0.770134, 0.585281, 31.5836%
1pctCO2, CSIRO-Mk3L-1-2, 0.329232, 0.359745, -8.48203%
1pctCO2, FGOALS-g2, 0.350316, 0.247342, 41.6325%
1pctCO2, FGOALS-s2, 0.574751, 0.508475, 13.0344%
1pctCO2, GISS-E2-1-G, 0.450553, 0.431233, 4.48017%
1pctCO2, GISS-E2-R, 0.223265, 0.269491, -17.153%
1pctCO2, IPSL-CM5A-LR, 0.313363, 0.372271, -15.824%
1pctCO2, IPSL-CM6A-LR, 0.763678, 0.550668, 38.6821%
1pctCO2, MIROC-ES2L, 0.850417, 0.637877, 33.32%
1pctCO2, MIROC-ESM, 0.293731, 0.280141, 4.85099%
1pctCO2, MPI-ESM-P, 0.724795, 0.475849, 52.3159%
1pctCO2, MRI-CGCM3, 0.348876, 0.342057, 1.9936%
1pctCO2, MRI-ESM2-0, 0.528815, 0.449902, 17.54%
1pctCO2, NESM3, 0.431675, 0.342737, 25.9494%
Ensemble mean change in 1pctCO2 = 9.30229%
 
expt, gcm_name, NCT_stddev, control_NCT_stddev, percentage change
abrupt4xCO2, BCC-CSM1-1, 0.188383, 0.238714, -21.0842%
abrupt4xCO2, CCSM4, 0.388084, 0.48988, -20.7798%
abrupt4xCO2, CESM2, 0.406095, 0.694939, -41.5639%
abrupt4xCO2, CNRM-CM5, 0.338256, 0.33223, 1.81373%
abrupt4xCO2, CSIRO-Mk3-6-0, 0.910461, 0.585281, 55.5596%
abrupt4xCO2, FGOALS-g2, 0.201029, 0.247342, -18.7244%
abrupt4xCO2, FGOALS-s2, 0.529248, 0.508475, 4.08537%
abrupt4xCO2, GISS-E2-1-G, 0.363607, 0.431233, -15.682%
abrupt4xCO2, GISS-E2-R, 0.155978, 0.269491, -42.1214%
abrupt4xCO2, IPSL-CM5A-LR, 0.281792, 0.372271, -24.3046%
abrupt4xCO2, IPSL-CM6A-LR, 0.453409, 0.550668, -17.662%
abrupt4xCO2, MIROC-ES2L, 0.807724, 0.637877, 26.6269%
abrupt4xCO2, MIROC-ESM, 0.300512, 0.280141, 7.27183%
abrupt4xCO2, MPI-ESM-P, 0.777127, 0.475849, 63.3137%
abrupt4xCO2, MRI-CGCM3, 0.332088, 0.342057, -2.91445%
abrupt4xCO2, MRI-ESM2-0, 0.532622, 0.449902, 18.3863%
abrupt4xCO2, NESM3, 0.368087, 0.342737, 7.39656%
Ensemble mean change in abrupt4xCO2 = -1.199%
 
expt, gcm_name, NWP_stddev, control_NWP_stddev, percentage change
midHolocene, AWI-CM-1-1-LR, 0.549581, 0.606849, -9.43686%
midHolocene, BCC-CSM1-1, 0.529211, 0.564393, -6.23363%
midHolocene, CCSM4, 0.784643, 0.785949, -0.166047%
midHolocene, CESM2, 0.691637, 0.742935, -6.90474%
midHolocene, CNRM-CM5, 0.617043, 0.64335, -4.08906%
midHolocene, CSIRO-Mk3-6-0, 0.55034, 0.453749, 21.2871%
midHolocene, CSIRO-Mk3L-1-2, 0.206313, 0.264884, -22.1121%
midHolocene, FGOALS-g2, 0.454671, 0.583064, -22.0204%
midHolocene, FGOALS-s2, 0.698252, 0.722989, -3.42149%
midHolocene, GISS-E2-1-G, 1.02372, 1.08084, -5.28542%
midHolocene, GISS-E2-R, 0.347639, 0.35439, -1.90492%
midHolocene, HadGEM2-CC, 0.633647, 0.598653, 5.84541%
midHolocene, HadGEM3-GC31, 0.6561, 0.66655, -1.56779%
midHolocene, IPSL-CM5A-LR, 0.475123, 0.521691, -8.92647%
midHolocene, IPSL-CM6A-LR, 0.722424, 0.725164, -0.377849%
midHolocene, MIROC-ES2L, 0.505551, 0.843882, -40.0922%
midHolocene, MIROC-ESM, 0.314963, 0.348946, -9.7387%
midHolocene, MPI-ESM-P, 0.529551, 0.555839, -4.72955%
midHolocene, MRI-CGCM3, 0.500847, 0.464206, 7.8931%
midHolocene, MRI-ESM2-0, 0.520998, 0.656831, -20.68%
midHolocene, NESM3, 0.519054, 0.545105, -4.77899%
Ensemble mean change in midHolocene = -6.54479%
 
expt, gcm_name, NWP_stddev, control_NWP_stddev, percentage change
lgm, AWI-CM-1-1-LR, 0.694586, 0.606849, 14.4579%
lgm, CCSM4, 0.620454, 0.785949, -21.0566%
lgm, CNRM-CM5, 0.747099, 0.64335, 16.1265%
lgm, COSMOS-ASO, 1.22016, 1.11566, 9.36636%
lgm, FGOALS-g2, 0.475101, 0.583064, -18.5165%
lgm, GISS-E2-R, 0.290423, 0.35439, -18.0498%
lgm, IPSL-CM5A-LR, 0.74642, 0.521691, 43.0769%
lgm, MIROC-ES2L, 0.802335, 0.843882, -4.92333%
lgm, MIROC-ESM, 0.44366, 0.348946, 27.1429%
lgm, MPI-ESM-P, 0.633958, 0.555839, 14.0542%
lgm, MRI-CGCM3, 0.462035, 0.464206, -0.467778%
Ensemble mean change in lgm = 5.56461%
 
expt, gcm_name, NWP_stddev, control_NWP_stddev, percentage change
lig127k, AWI-CM-1-1-LR, 0.549388, 0.606849, -9.46863%
lig127k, CESM2, 0.567986, 0.742935, -23.5483%
lig127k, GISS-E2-1-G, 1.06669, 1.08084, -1.30901%
lig127k, HadGEM3-GC31, 0.475704, 0.66655, -28.6319%
lig127k, IPSL-CM6A-LR, 0.635246, 0.725164, -12.3997%
lig127k, NESM3, 0.448628, 0.545105, -17.6989%
lig127k, NorESM1-F, 0.479522, 0.634787, -24.4593%
Ensemble mean change in lig127k = -16.788%
 
expt, gcm_name, NWP_stddev, control_NWP_stddev, percentage change
1pctCO2, BCC-CSM1-1, 0.473812, 0.564393, -16.0492%
1pctCO2, CCSM4, 0.557884, 0.785949, -29.0178%
1pctCO2, CESM2, 0.7754, 0.742935, 4.36981%
1pctCO2, CNRM-CM5, 0.80928, 0.64335, 25.7917%
1pctCO2, CSIRO-Mk3-6-0, 0.529817, 0.453749, 16.7643%
1pctCO2, CSIRO-Mk3L-1-2, 0.60086, 0.264884, 126.839%
1pctCO2, FGOALS-g2, 0.3126, 0.583064, -46.3866%
1pctCO2, FGOALS-s2, 0.985555, 0.722989, 36.3168%
1pctCO2, GISS-E2-1-G, 1.11973, 1.08084, 3.59781%
1pctCO2, GISS-E2-R, 0.366378, 0.35439, 3.38287%
1pctCO2, IPSL-CM5A-LR, 0.426275, 0.521691, -18.2898%
1pctCO2, IPSL-CM6A-LR, 0.745156, 0.725164, 2.75695%
1pctCO2, MIROC-ES2L, 1.17302, 0.843882, 39.0031%
1pctCO2, MIROC-ESM, 0.286723, 0.348946, -17.8315%
1pctCO2, MPI-ESM-P, 0.616296, 0.555839, 10.8766%
1pctCO2, MRI-CGCM3, 0.585444, 0.464206, 26.1173%
1pctCO2, MRI-ESM2-0, 0.789387, 0.656831, 20.1811%
1pctCO2, NESM3, 0.550488, 0.545105, 0.987453%
Ensemble mean change in 1pctCO2 = 10.5227%
 
expt, gcm_name, NWP_stddev, control_NWP_stddev, percentage change
abrupt4xCO2, BCC-CSM1-1, 0.513703, 0.564393, -8.98132%
abrupt4xCO2, CCSM4, 0.683753, 0.785949, -13.0028%
abrupt4xCO2, CESM2, 0.657432, 0.742935, -11.5089%
abrupt4xCO2, CNRM-CM5, 0.77383, 0.64335, 20.2815%
abrupt4xCO2, CSIRO-Mk3-6-0, 0.571629, 0.453749, 25.9789%
abrupt4xCO2, FGOALS-g2, 0.478337, 0.583064, -17.9616%
abrupt4xCO2, FGOALS-s2, 1.02975, 0.722989, 42.4302%
abrupt4xCO2, GISS-E2-1-G, 1.04549, 1.08084, -3.27068%
abrupt4xCO2, GISS-E2-R, 0.282705, 0.35439, -20.2276%
abrupt4xCO2, IPSL-CM5A-LR, 0.399303, 0.521691, -23.4599%
abrupt4xCO2, IPSL-CM6A-LR, 0.570659, 0.725164, -21.3063%
abrupt4xCO2, MIROC-ES2L, 1.11965, 0.843882, 32.6784%
abrupt4xCO2, MIROC-ESM, 0.278548, 0.348946, -20.1744%
abrupt4xCO2, MPI-ESM-P, 0.694214, 0.555839, 24.8948%
abrupt4xCO2, MRI-CGCM3, 0.623048, 0.464206, 34.2179%
abrupt4xCO2, MRI-ESM2-0, 0.856978, 0.656831, 30.4716%
abrupt4xCO2, NESM3, 0.563644, 0.545105, 3.40094%
Ensemble mean change in abrupt4xCO2 = 4.38004%
