 Copyright (C) 1995-2017 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.4.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change (%)
abrupt4xCO2,HadGEM2-ES,0.324918,0.262006,24.0117
abrupt4xCO2,INM-CM4-8,0.174452,0.185184,-5.79528
abrupt4xCO2,IPSL-CM5A-LR,0.246116,0.315864,-22.0815
abrupt4xCO2,IPSL-CM6A-LR,0.405396,0.509259,-20.3949
abrupt4xCO2,MIROC-ES2L,0.781136,0.542289,44.0442
abrupt4xCO2,MIROC-ESM,0.173463,0.163765,5.92202
abrupt4xCO2,MPI-ESM1-2-LR,0.391501,0.346318,13.0469
abrupt4xCO2,MPI-ESM-P,0.57879,0.344537,67.9906
abrupt4xCO2,MRI-CGCM3,0.420806,0.286201,47.0316
abrupt4xCO2,MRI-ESM2-0,0.615647,0.45736,34.6089
abrupt4xCO2,NESM3,0.345059,0.289795,19.07
abrupt4xCO2,NorESM2-LM,0.730689,0.653491,11.813
abrupt4xCO2,Ens. Mean.,,,8.10963
